GE,ME,MI
ENSG00000130700,ENSG00000119969,ENSG00000119685
ENSG00000130720,ENSG00000120008,ENSG00000119865
ENSG00000130822,ENSG00000120156,ENSG00000119888
ENSG00000130876,ENSG00000120210,ENSG00000119899
ENSG00000131037,ENSG00000120332,ENSG00000120088
ENSG00000131126,ENSG00000120451,ENSG00000120129
ENSG00000131459,ENSG00000120647,ENSG00000120318
ENSG00000131650,ENSG00000120659,ENSG00000120341
ENSG00000131771,ENSG00000120694,ENSG00000120647
ENSG00000132164,ENSG00000120699,ENSG00000120658
ENSG00000132446,ENSG00000120802,ENSG00000120697
ENSG00000132639,ENSG00000121005,ENSG00000121552
ENSG00000132698,ENSG00000121022,ENSG00000121653
ENSG00000132746,ENSG00000121207,ENSG00000121851
ENSG00000132821,ENSG00000121310,ENSG00000122025
ENSG00000132932,ENSG00000121542,ENSG00000122547
ENSG00000132972,ENSG00000121577,ENSG00000123106
ENSG00000133019,ENSG00000121749,ENSG00000123130
ENSG00000133134,ENSG00000121904,ENSG00000123154
ENSG00000133454,ENSG00000122033,ENSG00000123338
ENSG00000133477,ENSG00000122180,ENSG00000124205
ENSG00000133519,ENSG00000122254,ENSG00000124207
ENSG00000133636,ENSG00000122507,ENSG00000124215
ENSG00000133863,ENSG00000123307,ENSG00000124226
ENSG00000133937,ENSG00000123358,ENSG00000124249
ENSG00000133962,ENSG00000123388,ENSG00000124459
ENSG00000134258,ENSG00000124006,ENSG00000124491
ENSG00000134365,ENSG00000124491,ENSG00000124523
ENSG00000134389,ENSG00000124496,ENSG00000124535
ENSG00000134627,ENSG00000124731,ENSG00000124571
ENSG00000134760,ENSG00000124831,ENSG00000124588
ENSG00000134827,ENSG00000124839,ENSG00000124772
ENSG00000134853,ENSG00000124942,ENSG00000124784
ENSG00000134873,ENSG00000125337,ENSG00000125107
ENSG00000135097,ENSG00000125482,ENSG00000125510
ENSG00000135406,ENSG00000125484,ENSG00000125648
ENSG00000135409,ENSG00000125522,ENSG00000125885
ENSG00000135519,ENSG00000125746,ENSG00000126091
ENSG00000135773,ENSG00000125775,ENSG00000126216
ENSG00000135902,ENSG00000125846,ENSG00000127663
ENSG00000136002,ENSG00000125900,ENSG00000128052
ENSG00000136011,ENSG00000126215,ENSG00000128059
ENSG00000136327,ENSG00000126581,ENSG00000128250
ENSG00000136542,ENSG00000126777,ENSG00000128253
ENSG00000136944,ENSG00000126822,ENSG00000128271
ENSG00000137077,ENSG00000126890,ENSG00000128284
ENSG00000137142,ENSG00000127022,ENSG00000128322
ENSG00000137203,ENSG00000127084,ENSG00000128928
ENSG00000137273,ENSG00000127152,ENSG00000129028
ENSG00000137673,ENSG00000127364,ENSG00000129167
ENSG00000137731,ENSG00000127529,ENSG00000129187
ENSG00000137747,ENSG00000127824,ENSG00000129596
ENSG00000137819,ENSG00000127928,ENSG00000129910
