GE,ME,MI
ENSG00000109072,ENSG00000101188,ENSG00000105639
ENSG00000109132,ENSG00000101198,ENSG00000105708
ENSG00000109181,ENSG00000101199,ENSG00000105819
ENSG00000109255,ENSG00000101220,ENSG00000105929
ENSG00000109705,ENSG00000101391,ENSG00000105953
ENSG00000109906,ENSG00000101850,ENSG00000106013
ENSG00000109991,ENSG00000102054,ENSG00000106028
ENSG00000110148,ENSG00000102109,ENSG00000106399
ENSG00000110195,ENSG00000102854,ENSG00000106565
ENSG00000110243,ENSG00000102879,ENSG00000106608
ENSG00000110244,ENSG00000102935,ENSG00000106638
ENSG00000110245,ENSG00000103056,ENSG00000106803
ENSG00000110786,ENSG00000103091,ENSG00000106804
ENSG00000111262,ENSG00000103126,ENSG00000107147
ENSG00000111404,ENSG00000103194,ENSG00000107159
ENSG00000111537,ENSG00000103248,ENSG00000107331
ENSG00000111700,ENSG00000103269,ENSG00000107371
ENSG00000111879,ENSG00000103490,ENSG00000107789
ENSG00000111907,ENSG00000103723,ENSG00000108039
ENSG00000111981,ENSG00000104093,ENSG00000108244
ENSG00000112164,ENSG00000104219,ENSG00000108509
ENSG00000112183,ENSG00000104325,ENSG00000108511
ENSG00000112232,ENSG00000104369,ENSG00000108523
ENSG00000112238,ENSG00000104472,ENSG00000108604
ENSG00000112796,ENSG00000104626,ENSG00000108622
ENSG00000112818,ENSG00000104756,ENSG00000108671
ENSG00000112936,ENSG00000104805,ENSG00000108679
ENSG00000113296,ENSG00000104808,ENSG00000108773
ENSG00000113327,ENSG00000104814,ENSG00000109062
ENSG00000113396,ENSG00000104823,ENSG00000109111
ENSG00000113722,ENSG00000104835,ENSG00000109255
ENSG00000114200,ENSG00000104853,ENSG00000109511
ENSG00000114638,ENSG00000104880,ENSG00000109519
ENSG00000114923,ENSG00000104921,ENSG00000109667
ENSG00000115263,ENSG00000104951,ENSG00000109943
ENSG00000115353,ENSG00000104957,ENSG00000110046
ENSG00000115593,ENSG00000105011,ENSG00000110107
ENSG00000115665,ENSG00000105186,ENSG00000110195
ENSG00000115705,ENSG00000105251,ENSG00000110218
ENSG00000115718,ENSG00000105352,ENSG00000110852
ENSG00000116031,ENSG00000105426,ENSG00000111012
ENSG00000116039,ENSG00000105467,ENSG00000111058
ENSG00000116147,ENSG00000105559,ENSG00000111254
ENSG00000116194,ENSG00000105576,ENSG00000111261
ENSG00000116661,ENSG00000105605,ENSG00000111321
ENSG00000117013,ENSG00000105647,ENSG00000111404
ENSG00000117148,ENSG00000105865,ENSG00000111581
ENSG00000117322,ENSG00000105996,ENSG00000111832
ENSG00000118017,ENSG00000106004,ENSG00000111911
ENSG00000118137,ENSG00000106006,ENSG00000112039
ENSG00000118271,ENSG00000106031,ENSG00000112238
ENSG00000118432,ENSG00000106113,ENSG00000112357
ENSG00000118729,ENSG00000106258,ENSG00000112486
ENSG00000118733,ENSG00000106588,ENSG00000112742
ENSG00000119121,ENSG00000106591,ENSG00000112852
ENSG00000120054,ENSG00000106665,ENSG00000112877
ENSG00000120057,ENSG00000106682,ENSG00000112936
ENSG00000120251,ENSG00000106688,ENSG00000113263
ENSG00000120332,ENSG00000107014,ENSG00000113396
